itemCode,name,Description,customer,Max Qty,Count,Price,Cost,MSRP,subscriptionPeriodMonths,Frequency,billingType,billingPeriodType,firstBillingPeriodType,cancelTime,renewalAction
A-FLEX-EAPL,A-FLEX-EAPL,EntW On-Premises Calling,Broker,621410,512,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-DEVREG-ENT,A-FLEX-DEVREG-ENT,Cloud Device Registration Entitlement,Broker,555630,484,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-F-FLSTG-ENT,A-FLEX-F-FLSTG-ENT,FedRAMP File Storage Entitlement,Broker,547020,16,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-CCUCS-EA,A-FLEX-CCUCS-EA,A-FLEX-CCUCS-EA,Broker,524707,305,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-U-TN,A-AUD-U-TN,Cisco Telephone Number TN,Broker,520863,427,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-M3MCTCECSC,A-SPK-M3MCTCECSC,M3 MC TC EC SC Provisioning,Broker,455735,29,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EA-E-K-STU,A-FLEX-EA-E-K-STU,EA Students for K-12,Broker,435973,25,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-ER-11,A-FLEX-P-ER-11,Emergency Responder v11 License -1,Broker,417094,73,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EAPL1-AUM,A-FLEX-EAPL1-AUM,EA On-Premises Calling Tier 1 purchased with AU Me,Broker,402460,335,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-CA,A-FLEX-P-CA,Common Area Smart License -1,Broker,374837,527,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-SRSTEP,A-FLEX-SRSTEP,SRST Endpoints -1,Broker,373763,111,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-U-TA-BCTF,A-AUD-U-TA-BCTF,Bridge Country Toll Free Dial In (1),Broker,363612,57,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EAPL1,A-FLEX-EAPL1,EA On-Premises Calling Tier 1 -1,Broker,342445,264,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-NBR-STG,A-FLEX-NBR-STG,Webex Cloud Recording Storage Entitlement,Broker,333997,561,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-MEET-ENT,A-FLEX-MEET-ENT,Cloud Meetings Entitlement,Broker,325303,285,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-UCM-12X,A-FLEX-P-UCM-12X,Unified Communications Manager v12 License -1,Broker,313270,323,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-UCXN-12X,A-FLEX-P-UCXN-12X,Unity Connection v12 License,Broker,313270,323,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-ER-11X,A-FLEX-P-ER-11X,Emergency Responder v11 License,Broker,302861,86,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-G-SP-DT-Flex,A-FLEX-G-SP-DT-Flex,CC Speech Based Intent Detection,Broker,299498,9,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
ISE-E-LIC,ISE-E-LIC,Cisco Identity Service Engine Essentials Subscript,Broker,269563,84,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-DUO-MFA,E2SF-DUO-MFA,EA Choice - Duo MFA Edition,Broker,257802,32,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EA-PRO-PK,A-FLEX-EA-PRO-PK,EA Pro Pack for Cisco Webex Control Hub -1,Broker,254802,182,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EAPL2,A-FLEX-EAPL2,EA On-Premises Calling Tier 2 -1,Broker,239668,15,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-JABBER,A-FLEX-JABBER,Jabber -1,Broker,231236,452,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-M3-MCTCEC-PV,A-SPK-M3-MCTCEC-PV,Business Messaging & Cloud Advanced Meetings),Broker,229500,167,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-U-TN-NL,A-AUD-U-TN-NL,Telephone number (TN) for Non Local Number- Uncomm,Broker,217660,50,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EAPL-EDU,A-FLEX-EAPL-EDU,EntW On-Premises Calling for Education,Broker,215514,136,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-ND-SR-X,A-SPK-ND-SR-X,Restricted-use registration license-migration from,Broker,198907,201,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-ACC,A-FLEX-P-ACC,Access Smart License -1,Broker,195005,619,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
TE-UNITS,TE-UNITS,Cisco ThousandEyes - Cloud and Enterprise Agents (,Broker,189403,28,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
UMB-INSIGHTS-K9,UMB-INSIGHTS-K9,Umbrella Insights,Broker,184021,173,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-AU-M1-X,A-SPK-AU-M1-X,Included Business Messaging (1),Broker,182950,145,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-UCXN11,A-FLEX-P-UCXN11,Unity Connection v11 License -1,Broker,179535,63,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-UCM-11X,A-FLEX-P-UCM-11X,United Communications Manager v11 License,Broker,177061,85,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-UCXN-11X,A-FLEX-P-UCXN-11X,Unity Connection v11 License,Broker,177061,85,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-AU-MC-X,A-SPK-AU-MC-X,Included Cisco WebEx Meeting Center (1),Broker,175150,144,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-AU-M2-X,A-SPK-AU-M2-X,Included Basic Meetings (1),Broker,175150,144,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-AU-EC-1K-X,A-SPK-AU-EC-1K-X,Event Center Capacity 1000 (1),Broker,175150,144,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-AU-TC-200-X,A-SPK-AU-TC-200-X,Training Center 200 (1),Broker,175150,144,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-U-DNS-ADV,E2SF-U-DNS-ADV,Sec EA 2.0 Choice Umbrella DNS Advantage,Broker,168100,45,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-UCM11,A-FLEX-P-UCM11,Unified Communications Manager v11 License -1,Broker,165150,61,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-AU-CMR-25-X,A-SPK-AU-CMR-25-X,Included Collaboration Meeting Rooms (1),Broker,160850,144,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PL-COMMON,A-FLEX-PL-COMMON,On-Premises Common Area Add-on,Broker,157108,91,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-DUO-ED-ADV-FS,E2SF-DUO-ED-ADV-FS,EA Choice-Duo Advantage for Education Faculty/Stud,Broker,141666,6,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EXP-RMS,A-FLEX-EXP-RMS,Expressway Rich Media Session -1,Broker,138680,919,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EAPL2-AUM,A-FLEX-EAPL2-AUM,EA On-Premises Calling Tier 2 purchased with AU Me,Broker,138382,49,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
UMB-PLATFORM-K9,UMB-PLATFORM-K9,Umbrella Platform,Broker,138000,33,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
UMB-EDU-K9,UMB-EDU-K9,Cisco Umbrella Cloud Security - License - 1 Licens,Broker,136615,22,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-US-TA-BCTF-Bridge,A-SPK-US-TA-BCTF-Bridge,Country Toll Free Call-in (1),Broker,130622,23,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-AU-HUB-PRO-X,A-SPK-AU-HUB-PRO-X,Included Pro Pack (`),Broker,130000,52,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-MSUITE-ENT,A-FLEX-MSUITE-ENT,Cloud Meetings Entitlement,Broker,127953,127,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2N-AIRWLAN-B-A,E2N-AIRWLAN-B-A,Wireless DNA EA Advantage  For Previous Purchase,Broker,127390,17,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
SVS-FLEX-SUPT-BAS,SVS-FLEX-SUPT-BAS,Basic Support for Flex Plan Contact Center,Broker,125000,2380,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EDGAUD-USER,A-FLEX-EDGAUD-USER,A-FLEX Webex Edge Audio,Broker,111115,498,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-CS-TA-BCTF,A-WX-CS-TA-BCTF,Bridge Country Toll Free Call-in (1),Broker,104127,61,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EACM1-EAL,A-FLEX-EACM1-EAL,EntW Cloud Meetings Tier 1 purchased with EntW Cal,Broker,99430,55,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EAPL1-EAM,A-FLEX-EAPL1-EAM,EntW On-Premises Calling Tier 1 purch with EntW Me,Broker,99430,55,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-AC-APEX,E3S-AC-APEX,Security EA 3.0 AnyConnect Apex License,Broker,95175,18,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-U-DNS-R-ADV,E2SF-U-DNS-R-ADV,Sec EA 2.0 Choice Umbrella Reconstruction DNS Adva,Broker,90550,20,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-EA-BCCB,A-AUD-EA-BCCB,EntW Meetings Bridge Country Call Back Audio -1,Broker,89610,38,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EA-BCCB-TF,A-FLEX-EA-BCCB-TF,Bridge Country Call Back with Toll Free Audio (Ent,Broker,87500,50,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EA-MPL,A-FLEX-EA-MPL,EA Cloud Meetings with EA On Prem Calling,Broker,87450,30,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-EVTS-PLF-EXT-ENT,A-EVTS-PLF-EXT-ENT,Webex Events (formerly Socio) Suite EA 5X KW Exter,Broker,85765,19,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-TOLL-DIALIN,A-FLEX-TOLL-DIALIN,Meetings Toll Dial-In Audio -1,Broker,84345,235,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-CS-TA-BCCB,A-WX-CS-TA-BCCB,Bridge Country Call-back (1),Broker,83864,19,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SF-DUO-ACCESS,E2SF-DUO-ACCESS,EA Choice - Duo Access Edition,Broker,82011,23,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
ISE-A-LIC,ISE-A-LIC,Cisco Identity Service Engine Advantage Subscripti,Broker,79725,76,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EA-P-COMMON,A-FLEX-EA-P-COMMON,Common Area Add-on -1,Broker,79480,162,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
DUO-MFA,DUO-MFA,Cisco Duo Security Standard Multi-Factor Authentication (MFA,Broker,76262,239,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-EDUEC-CM-M,A-SPK-EDUEC-CM-M,"Business Messaging , Basic Meeting, Cloud  Advance",Broker,76094,33,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-COMMON12X,A-FLEX-P-COMMON12X,Common Area v12 License -1,Broker,74011,285,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-CS-TA-ITF,A-SPK-CS-TA-ITF,Global Toll Free (1),Broker,73310,166,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-CA-11X,A-FLEX-P-CA-11X,Common Area v11 License -1,Broker,72988,46,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PJXSC,A-FLEX-PJXSC,Flex CC On-Premises UCCX Standard Concurrent Agent,Broker,72118,639,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-MSG-NU-ENT,A-FLEX-MSG-NU-ENT,Messaging Entitlement,Broker,70771,658,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-SPK-EDUEC-TEC,A-SPK-EDUEC-TEC,Toll Employee Count,Broker,70143,22,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SC-P-SWFR,E2SC-P-SWFR,Security ELA 2.0 Stealthwatch Flow Rate Lic,Broker,70000,4,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-CUCME,A-FLEX-CUCME,Communications Manager Express -1,Broker,67808,36,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-SPEECHVIEW,A-FLEX-SPEECHVIEW,Speechview Standard,Broker,67062,80,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
UMB-DNS-ADV-K9,UMB-DNS-ADV-K9,Cisco Umbrella DNS Security Advantage,Broker,66546,157,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PL-ACCESS,A-FLEX-PL-ACCESS,On-Premises Access Add-on,Broker,65092,109,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-JABBER-ADD,A-FLEX-JABBER-ADD,Flex Jabber -1,Broker,63788,18,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-ISE-ADV,E3S-ISE-ADV,Security EA 3.0 ISE Advantage Subscription,Broker,61660,15,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PL-VM,A-FLEX-PL-VM,On-Premises Unity Connection Add-on,Broker,58661,149,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-AU-BCCB,A-FLEX-AU-BCCB,AU Meetings Bridge Country Call Back Audio -1,Broker,58244,290,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E3S-ISE-ESS,E3S-ISE-ESS,Security EA 3.0 ISE Essentials Subscription,Broker,57200,13,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-C-PRO,A-FLEX-C-PRO,Webex Calling Entitlement,Broker,56054,254,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-ADD-ER,A-FLEX-ADD-ER,NU Emergency Responder Add-on -1,Broker,54962,64,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-WX-EC-RMSTG-INC,A-WX-EC-RMSTG-INC,Spark Message Included Storage,Broker,54000,16,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-NUPL-P,A-FLEX-NUPL-P,NU On-Premises Calling Professional,Broker,53832,346,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-AUCM1-EAL,A-FLEX-AUCM1-EAL,AU Cloud Meetings Tier 1 purchased with EA Calling,Broker,53426,341,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
E2SC-ST-FR-5Y-S3,E2SC-ST-FR-5Y-S3,ELA 2 Stealthwatch Flow Rate 5 YR Subs  10 000-24 ,Broker,52500,3,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
UMB-SIG-ESS-K9,UMB-SIG-ESS-K9,Cisco Umbrella Secure Internet Gateway Essentials,Broker,52330,35,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-CALL,A-FLEX-P-CALL,Prem to Webex Calling - Premises Calling Ent,Broker,52305,327,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-ER-10X,A-FLEX-P-ER-10X,Emergency Responder v10 License -1,Broker,51450,25,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-CUCILYNC,A-FLEX-CUCILYNC,CUCILYNC -1,Broker,48567,389,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-SME-11X,A-FLEX-SME-11X,Session Manager v11,Broker,48485,81,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-PJXPC,A-FLEX-PJXPC,Flex CC On-Premises UCCX Premium Concurrent Agent,Broker,43191,747,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-EDGEAUD-USER,A-AUD-EDGEAUD-USER,Webex Edge Audio -1,Broker,41297,429,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-AUD-TOLLDIALIN,A-AUD-TOLLDIALIN,Meetings Toll Dial-In Audio -1,Broker,40897,425,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-SME-12X,A-FLEX-SME-12X,Session Manager v12 -1,Broker,40344,273,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-P-PRO,A-FLEX-P-PRO,Unified Communications Manager Smart License - Pro,Broker,38742,258,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
A-FLEX-EACL,A-FLEX-EACL,EntW Webex Calling,Broker,38646,21,12,8,10,M12,M12,recurringBilling,BillingDay,ProRatedBilling,ImmediatelyDelete,AutomaticRenewal
